,interest,vaccancy,cpi,price,value,adj_price
2012-06-23,3.66,8.6,228.524,198000.0,157138.6431815302,86642.97841802174
2012-06-30,3.66,8.6,228.524,202500.0,157138.6431815302,88612.13701843133
2012-07-07,3.62,8.6,228.59,207250.0,158891.66940608283,90664.50850868368
2012-07-14,3.56,8.6,228.59,203000.0,158891.66940608283,88805.28457062863
2012-07-21,3.53,8.6,228.59,205000.0,158891.66940608283,89680.21348265452
2012-07-28,3.49,8.6,228.59,195500.0,158891.66940608283,85524.30115053152
2012-08-04,3.55,8.6,229.918,199000.0,159340.85683377643,86552.59701284805
2012-08-11,3.59,8.6,229.918,196500.0,159340.85683377643,85465.25282926956
2012-08-18,3.62,8.6,229.918,192000.0,159340.85683377643,83508.03329882828
2012-08-25,3.66,8.6,229.918,195000.0,159340.85683377643,84812.84631912247
2012-09-01,3.59,8.6,229.918,190000.0,159469.36887350798,82638.15795196548
2012-09-08,3.55,8.6,231.015,188000.0,159469.36887350798,81379.99696989373
2012-09-15,3.55,8.6,231.015,193000.0,159469.36887350798,83544.35859143345
2012-09-22,3.49,8.6,231.015,175000.0,159469.36887350798,75752.65675389045
2012-09-29,3.4,8.6,231.015,180000.0,159469.36887350798,77917.01837543017
2012-10-06,3.36,8.7,231.638,177700.0,158344.62663456867,76714.52870427132
2012-10-13,3.39,8.7,231.638,172500.0,158344.62663456867,74469.64660375241
2012-10-20,3.37,8.7,231.638,163750.0,158344.62663456867,70692.20076153308
2012-10-27,3.41,8.7,231.638,157750.0,158344.62663456867,68101.95218401126
2012-11-03,3.39,8.7,231.249,175000.0,156959.04491129337,75676.00292325589
2012-11-10,3.4,8.7,231.249,172000.0,156959.04491129337,74378.70001600008
2012-11-17,3.34,8.7,231.249,170750.0,156959.04491129337,73838.15713797681
2012-12-01,3.32,8.7,231.249,172000.0,156400.73762412876,74378.70001600008
2012-12-08,3.34,8.7,231.221,167500.0,156400.73762412876,72441.51699023877
2012-12-15,3.32,8.7,231.221,175000.0,156400.73762412876,75685.16700472707
2012-12-22,3.37,8.7,231.221,167000.0,156400.73762412876,72225.27365593956
2012-12-29,3.35,8.7,231.221,163250.0,156400.73762412876,70603.44864869541
2013-01-05,3.34,8.6,231.679,170000.0,155814.77474214253,73377.38854190496
2013-01-12,3.4,8.6,231.679,158000.0,155814.77474214253,68197.80817424109
2013-01-19,3.38,8.6,231.679,168500.0,155814.77474214253,72729.94099594698
2013-01-26,3.42,8.6,231.679,162000.0,155814.77474214253,69924.33496346237
2013-02-02,3.53,8.6,231.679,156900.0,155741.7582092543,67723.01330720523
2013-02-09,3.53,8.6,232.937,145000.0,155741.7582092543,62248.59082069401
2013-02-16,3.53,8.6,232.937,155000.0,155741.7582092543,66541.59708419014
2013-02-23,3.56,8.6,232.937,147000.0,155741.7582092543,63107.19207339323
2013-03-02,3.51,8.6,232.937,165000.0,156795.90411233067,70834.60334768628
2013-03-09,3.52,8.6,232.282,161250.0,156795.90411233067,69419.92922396053
2013-03-16,3.63,8.6,232.282,164000.0,156795.90411233067,70603.83499367148
2013-03-23,3.54,8.6,232.282,165000.0,156795.90411233067,71034.34618265729
2013-03-30,3.57,8.6,232.282,171000.0,156795.90411233067,73617.4133165721
2013-04-06,3.54,8.2,231.797,180000.0,160138.98240607054,77654.15428154808
2013-04-13,3.43,8.2,231.797,184000.0,160138.98240607054,79379.80215447137
2013-04-20,3.41,8.2,231.797,188500.0,160138.98240607054,81321.15601151007
2013-04-27,3.4,8.2,231.797,185000.0,160138.98240607054,79811.2141227022
2013-05-04,3.35,8.2,231.893,190000.0,163050.6757635278,81934.34040699806
2013-05-11,3.42,8.2,231.893,185000.0,163050.6757635278,79778.17355418231
2013-05-18,3.51,8.2,231.893,192500.0,163050.6757635278,83012.42383340592
2013-05-25,3.59,8.2,231.893,195000.0,163050.6757635278,84090.50725981379
2013-06-01,3.81,8.2,231.893,215000.0,167295.2572396507,92715.17467107675
2013-06-08,3.91,8.2,232.445,205000.0,167295.2572396507,88192.9058486954
2013-06-15,3.98,8.2,232.445,220000.0,167295.2572396507,94646.04530103895
2013-06-22,3.93,8.2,232.445,218000.0,167295.2572396507,93785.62670739315
2013-06-29,4.46,8.2,232.445,222250.0,167295.2572396507,95614.0162188905
2013-07-13,4.51,8.3,232.9,215000.0,170300.18422396146,92314.2979819665
2013-07-20,4.37,8.3,232.9,225000.0,170300.18422396146,96607.9862601975
2013-07-27,4.31,8.3,232.9,218000.0,170300.18422396146,93602.4044654358
2013-08-03,4.39,8.3,233.456,215000.0,172605.14504867868,92094.44177917896
2013-08-10,4.4,8.3,233.456,220000.0,172605.14504867868,94236.1729833459
2013-08-17,4.4,8.3,233.456,217500.0,172605.14504867868,93165.30738126242
2013-08-24,4.58,8.3,233.456,215000.0,172605.14504867868,92094.44177917896
2013-08-31,4.51,8.3,233.456,205000.0,172605.14504867868,87810.97937084505
