,interest,vaccancy,cpi,price,value,adj_price
2011-05-28,4.6,9.2,224.806,170000.0,149348.70301057005,75620.75745309288
2011-06-04,4.55,9.2,224.806,170000.0,149753.24377860894,75620.75745309288
2011-06-11,4.49,9.2,224.806,167000.0,149753.24377860894,74286.27349803831
2011-06-18,4.5,9.2,224.806,172000.0,149753.24377860894,76510.41342312927
2011-06-25,4.5,9.2,224.806,172000.0,149753.24377860894,76510.41342312927
2011-07-02,4.51,9.2,224.806,179000.0,150229.00133054587,79624.20931825662
2011-07-09,4.6,9.8,225.395,170000.0,150229.00133054587,75423.14603252069
2011-07-16,4.51,9.8,225.395,172000.0,150229.00133054587,76310.47716231504
2011-07-23,4.52,9.8,225.395,170000.0,150229.00133054587,75423.14603252069
2011-07-30,4.55,9.8,225.395,170000.0,150229.00133054587,75423.14603252069
2011-08-06,4.39,9.8,226.106,167000.0,150012.35327932212,73859.1634012366
2011-08-13,4.32,9.8,226.106,169900.0,150012.35327932212,75141.74767586884
2011-08-20,4.15,9.8,226.106,169900.0,150012.35327932212,75141.74767586884
2011-08-27,4.22,9.8,226.106,165900.0,150012.35327932212,73372.66591775538
2011-09-03,4.22,9.8,226.597,166500.0,149425.8265034767,73478.4661756334
2011-09-10,4.12,9.8,226.597,160000.0,149425.8265034767,70609.93746607413
2011-09-17,4.09,9.8,226.597,164500.0,149425.8265034767,72595.84195730746
2011-09-24,4.09,9.8,226.597,160000.0,149425.8265034767,70609.93746607413
2011-10-01,4.01,9.8,226.597,164200.0,148477.05626098416,72463.44832455857
2011-10-08,3.94,9.4,226.75,158000.0,148477.05626098416,69680.26460859978
2011-10-15,4.12,9.4,226.75,160000.0,148477.05626098416,70562.29327453142
2011-10-22,4.11,9.4,226.75,160000.0,148477.05626098416,70562.29327453142
2011-10-29,4.1,9.4,226.75,160000.0,148477.05626098416,70562.29327453142
2011-11-05,4.0,9.4,227.169,158900.0,147439.3392546225,69947.92423261977
2011-11-12,3.99,9.4,227.169,156000.0,147439.3392546225,68671.34160030638
2011-11-19,4.0,9.4,227.169,160000.0,147439.3392546225,70432.14523108346
2011-12-03,4.0,9.4,227.223,161000.0,146250.21283448246,70855.50318409667
2011-12-10,3.99,9.4,227.223,156000.0,146250.21283448246,68655.02171875206
2011-12-17,3.94,9.4,227.223,160500.0,146250.21283448246,70635.4550375622
2011-12-24,3.91,9.4,227.223,158000.0,146250.21283448246,69535.2143048899
2011-12-31,3.95,9.4,227.223,155000.0,146250.21283448246,68214.92542568313
2012-01-07,3.91,8.8,227.842,155000.0,145129.31026487076,68029.5994592744
2012-01-14,3.89,8.8,227.842,155000.0,145129.31026487076,68029.5994592744
2012-01-21,3.88,8.8,227.842,156000.0,145129.31026487076,68468.50010094715
2012-01-28,3.98,8.8,227.842,152900.0,145129.31026487076,67107.90811176164
2012-02-04,3.87,8.8,228.329,153000.0,144788.71873446132,67008.57096558037
2012-02-11,3.87,8.8,228.329,149900.0,144788.71873446132,65650.88096562416
2012-02-18,3.87,8.8,228.329,152024.0,144788.71873446132,66581.11759785222
2012-02-25,3.95,8.8,228.329,152900.0,144788.71873446132,66964.77451396888
2012-03-03,3.9,8.8,228.807,159000.0,145439.8219755431,69490.88096080977
2012-03-10,3.88,8.8,228.807,157000.0,145439.8219755431,68616.78182922726
2012-03-17,3.92,8.8,228.807,159900.0,145439.8219755431,69884.2255700219
2012-03-24,4.08,8.8,228.807,158000.0,145439.8219755431,69053.83139501851
2012-03-31,3.99,8.8,228.807,162500.0,145439.8219755431,71020.55444107916
2012-04-07,3.98,8.6,229.187,165000.0,146546.2395546497,71993.61220313542
2012-04-14,3.88,8.6,229.187,161000.0,146546.2395546497,70248.31251336246
2012-04-21,3.9,8.6,229.187,165000.0,146546.2395546497,71993.61220313542
2012-04-28,3.88,8.6,229.187,167000.0,146546.2395546497,72866.26204802192
2012-05-05,3.84,8.6,228.713,170500.0,148119.37847901718,74547.57709443713
2012-05-12,3.83,8.6,228.713,167900.0,148119.37847901718,73410.78119739586
2012-05-19,3.79,8.6,228.713,170000.0,148119.37847901718,74328.96249885227
2012-05-26,3.78,8.6,228.713,170000.0,148119.37847901718,74328.96249885227
2012-06-02,3.75,8.6,228.713,180000.0,149883.9881276206,78701.25441054947
2012-06-09,3.67,8.6,228.524,175000.0,149883.9881276206,76578.39001592831
2012-06-16,3.71,8.6,228.524,179000.0,149883.9881276206,78328.75321629237
2012-06-23,3.66,8.6,228.524,179000.0,149883.9881276206,78328.75321629237
2012-06-30,3.66,8.6,228.524,180000.0,149883.9881276206,78766.3440163834
2012-07-07,3.62,8.6,228.59,177000.0,151382.1950887988,77431.20871429196
2012-07-14,3.56,8.6,228.59,179000.0,151382.1950887988,78306.13762631787
2012-07-21,3.53,8.6,228.59,178000.0,151382.1950887988,77868.6731703049
2012-07-28,3.49,8.6,228.59,175925.0,151382.1950887988,76960.93442407803
2012-08-04,3.55,8.6,229.918,179900.0,151935.14045013284,78245.28745030836
2012-08-11,3.59,8.6,229.918,174900.0,151935.14045013284,76070.59908315139
2012-08-18,3.62,8.6,229.918,177000.0,151935.14045013284,76983.96819735732
2012-08-25,3.66,8.6,229.918,175000.0,151935.14045013284,76114.09285049452
2012-09-01,3.59,8.6,229.918,178000.0,152621.66226320178,77418.90587078872
2012-09-08,3.55,8.6,231.015,170000.0,152621.66226320178,73588.29513235071
2012-09-15,3.55,8.6,231.015,172000.0,152621.66226320178,74454.0397809666
2012-09-22,3.49,8.6,231.015,170000.0,152621.66226320178,73588.29513235071
2012-09-29,3.4,8.6,231.015,170500.0,152621.66226320178,73804.73129450469
2012-10-06,3.36,8.7,231.638,170000.0,152754.7374901494,73390.37636311831
2012-10-13,3.39,8.7,231.638,169000.0,152754.7374901494,72958.66826686467
2012-10-20,3.37,8.7,231.638,170000.0,152754.7374901494,73390.37636311831
2012-10-27,3.41,8.7,231.638,168000.0,152754.7374901494,72526.96017061104
2012-11-03,3.39,8.7,231.249,167480.0,152628.4835526527,72424.09696906798
2012-11-10,3.4,8.7,231.249,168500.0,152628.4835526527,72865.17995753496
2012-11-17,3.34,8.7,231.249,172000.0,152628.4835526527,74378.70001600008
2012-12-01,3.32,8.7,231.249,175000.0,152653.5210193675,75676.00292325589
2012-12-08,3.34,8.7,231.221,170000.0,152653.5210193675,73522.73366173488
2012-12-15,3.32,8.7,231.221,171000.0,152653.5210193675,73955.22033033332
2012-12-22,3.37,8.7,231.221,171500.0,152653.5210193675,74171.46366463254
2012-12-29,3.35,8.7,231.221,175000.0,152653.5210193675,75685.16700472707
2013-01-05,3.34,8.6,231.679,170000.0,152450.23501981722,73377.38854190496
2013-01-12,3.4,8.6,231.679,167500.0,152450.23501981722,72298.30929864166
2013-01-19,3.38,8.6,231.679,167000.0,152450.23501981722,72082.493449989
2013-01-26,3.42,8.6,231.679,160000.0,152450.23501981722,69061.07156885174
2013-02-02,3.53,8.6,231.679,167500.0,152556.44669669785,72298.30929864166
2013-02-09,3.53,8.6,232.937,159500.0,152556.44669669785,68473.4499027634
2013-02-16,3.53,8.6,232.937,165000.0,152556.44669669785,70834.60334768628
2013-02-23,3.56,8.6,232.937,165000.0,152556.44669669785,70834.60334768628
2013-03-02,3.51,8.6,232.937,174900.0,153832.18675872547,75084.67954854746
